N,Time(ms),Cycles,Instructions,Branches,Branch-misses
64,1.98,2953850,4121382,690298,17262
128,1.61,2844429,4193548,701760,17056
256,2.02,3045498,4133286,691664,17483
512,3.00,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1024,2.35,2910196,4156390,695843,17351
2048,2.55,3783690,5249348,858649,19151
4096,2.35,2993510,4202803,703891,17425
8192,2.86,3553848,4216515,722544,15878
16384,3.24,<notcounted>,<notcounted>,<notcounted>,<notcounted>
32768,2.52,<notcounted>,<notcounted>,<notcounted>,<notcounted>
65536,2.30,4231830,5543536,930018,17617
131072,5.00,6286303,7330277,1249352,9942
262144,6.65,7637105,8985869,1501156,7203
524288,8.62,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1048576,16.07,21779273,24560709,4120858,6649
2097152,20.07,54134510,48638908,8149296,10168
4194304,32.71,99453579,95775500,16040403,12926
8388608,65.59,189427049,179865682,30174058,18036
16777216,98.58,362608997,340332814,56969928,48249
33554432,196.24,721365118,695231955,115762372,81946
67108864,398.21,1434453053,1387659997,231294780,110186
134217728,783.83,2824687295,2768246338,461096382,229514
268435456,1581.26,5708379370,5523927950,919408124,528605
536870912,2858.58,10603428882,11088701682,1845945732,1175888
